target_table,target_column,target_full_name,source_table,source_column,source_full_name,final_score,similarity_method,decision,name_similarity,regex_score,entropy_score,cardinality_score,null_ratio_score,mapping_type,mapping_confidence,transformation_sql
party,party_id,party.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,full_name,party.full_name,customer_master,first_name,customer_master.first_name,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,derived,0.95,"CONCAT(customer_master.first_name, ' ', customer_master.last_name)"
party,birth_date,party.birth_date,customer_master,date_of_birth,customer_master.date_of_birth,1.0000,llm,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,party_type_cd,party.party_type_cd,customer_master,customer_type_cd,customer_master.customer_type_cd,0.8950,llm,HUMAN_REVIEW,0.7000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN customer_master.customer_type_cd = 'IND' THEN 'IND' WHEN customer_contact.contact_type_cd IN ('MOBILE', 'HOME', 'WORK') THEN 'IND' ELSE NULL END"
party,gender_cd,party.gender_cd,gender_lookup,gender_code,gender_lookup.gender_code,0.7090,fuzzy,REJECT,0.9000,0.0000,0.9602,1.0000,1.0000,derived,0.85,CASE WHEN gender_lookup.gender_code IS NOT NULL THEN gender_lookup.gender_code ELSE customer_master.gender_code END
party,ssn,party.ssn,customer_master,ssn,customer_master.ssn,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,created_ts,party.created_ts,customer_master,created_ts,customer_master.created_ts,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party,email,party.email,customer_master,email_address,customer_master.email_address,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,id_id,party_identifier.id_id,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,party_id,party_identifier.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,is_primary,party_identifier.is_primary,customer_address,is_primary,customer_address.is_primary,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN customer_address.is_primary = 'True' OR customer_contact.is_primary = 'True' THEN 'True' ELSE 'False' END
party_identifier,id_value,party_identifier.id_value,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_identifier,id_type_cd,party_identifier.id_type_cd,identity_documents,doc_type_cd,identity_documents.doc_type_cd,0.9500,fuzzy,AUTO_ACCEPT,0.8571,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN identity_documents.doc_type_cd IN ('SSN', 'PASSPORT', 'DL') THEN identity_documents.doc_type_cd ELSE NULL END"
service_status_lookup,service_status_cd,service_status_lookup.service_status_cd,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.8614,llm,HUMAN_REVIEW,0.8000,1.0000,0.7925,0.7500,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN service_subscription.service_status_cd ELSE (CASE WHEN customer_status_lookup.status_cd IN ('ACTIVE', 'SUSPENDED', 'CLOSED') THEN customer_status_lookup.status_cd ELSE customer_master.status_cd END) END"
party_address_rel,party_id,party_address_rel.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_address_rel,rel_id,party_address_rel.rel_id,customer_master,customer_id,customer_master.customer_id,0.7550,llm,HUMAN_REVIEW,0.3000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
service_status_lookup,service_status_desc,service_status_lookup.service_status_desc,service_subscription,service_status_cd,service_subscription.service_status_cd,0.7903,fuzzy,HUMAN_REVIEW,0.8889,1.0000,0.3609,0.5000,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED') THEN service_subscription.service_status_cd ELSE customer_status_lookup.status_cd END"
party_address_rel,is_primary,party_address_rel.is_primary,customer_address,is_primary,customer_address.is_primary,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.95,CASE WHEN customer_address.is_primary = 'True' THEN 'True' ELSE customer_contact.is_primary END
address,address_id,address.address_id,customer_address,address_id,customer_address.address_id,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
party_address_rel,address_role_cd,party_address_rel.address_role_cd,customer_address,address_type_cd,customer_address.address_type_cd,0.9300,llm,AUTO_ACCEPT,0.8000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN customer_address.address_type_cd IN ('HOME', 'BILLING') THEN 'BILLING' ELSE customer_contact.contact_type_cd END"
address,street_1,address.street_1,customer_address,street_1,customer_address.street_1,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"COALESCE(customer_address.street_1, customer_address.street_2)"
party_address_rel,address_id,party_address_rel.address_id,customer_address,address_id,customer_address.address_id,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
address,street_2,address.street_2,customer_address,street_2,customer_address.street_2,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"COALESCE(customer_address.street_2, customer_address.street_1)"
address,city,address.city,customer_address,city,customer_address.city,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
address,state,address.state,customer_address,state,customer_address.state,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
address,zip_code,address.zip_code,customer_address,zip_code,customer_address.zip_code,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,subscription_id,subscription.subscription_id,service_subscription,subscription_id,service_subscription.subscription_id,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,party_id,subscription.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,1.0,
address,country_cd,address.country_cd,customer_address,country,customer_address.country,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,msisdn,subscription.msisdn,service_subscription,msisdn,service_subscription.msisdn,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,imsi,subscription.imsi,service_subscription,imsi,service_subscription.imsi,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,sim_serial,subscription.sim_serial,service_subscription,sim_serial,service_subscription.sim_serial,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,plan_cd,subscription.plan_cd,service_subscription,plan_id,service_subscription.plan_id,0.9500,fuzzy,AUTO_ACCEPT,0.8571,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,service_status_cd,subscription.service_status_cd,service_subscription,service_status_cd,service_subscription.service_status_cd,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED') THEN service_subscription.service_status_cd WHEN customer_master.status_cd IN ('ACTIVE', 'SUSPENDED') THEN customer_master.status_cd WHEN billing_account.account_status_cd = 'OPEN' THEN 'ACTIVE' ELSE 'SUSPENDED' END"
party_account_rel,rel_id,party_account_rel.rel_id,customer_master,customer_id,customer_master.customer_id,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,activation_dt,subscription.activation_dt,service_subscription,activation_dt,service_subscription.activation_dt,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
subscription,termination_dt,subscription.termination_dt,service_subscription,termination_dt,service_subscription.termination_dt,0.8750,fuzzy,HUMAN_REVIEW,1.0000,0.5000,1.0000,1.0000,1.0000,direct,0.95,
party_account_rel,party_id,party_account_rel.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
account,billing_cycle_cd,account.billing_cycle_cd,billing_account,billing_cycle_cd,billing_account.billing_cycle_cd,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
account,account_id,account.account_id,identity_documents,customer_id,identity_documents.customer_id,0.8950,llm,HUMAN_REVIEW,0.7000,1.0000,1.0000,1.0000,1.0000,,,
party_account_rel,role_cd,party_account_rel.role_cd,customer_master,customer_type_cd,customer_master.customer_type_cd,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,,,
party_account_rel,account_id,party_account_rel.account_id,service_subscription,customer_id,service_subscription.customer_id,0.8950,llm,HUMAN_REVIEW,0.7000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
account,payment_method_cd,account.payment_method_cd,billing_account,payment_method_cd,billing_account.payment_method_cd,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN billing_account.payment_method_cd IS NOT NULL THEN billing_account.payment_method_cd ELSE payment_method_lookup.payment_method_cd END
account,account_status_cd,account.account_status_cd,billing_account,account_status_cd,billing_account.account_status_cd,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN billing_account.account_status_cd = 'OPEN' THEN 'OPEN' WHEN service_subscription.service_status_cd = 'ACTIVE' THEN 'OPEN' ELSE 'SUSPENDED' END
account,credit_limit,account.credit_limit,invoice_header,total_amount,invoice_header.total_amount,0.6992,llm,REJECT,0.3000,1.0000,0.8277,0.8000,1.0000,,,
account,credit_risk_cd,account.credit_risk_cd,billing_account,credit_class_cd,billing_account.credit_class_cd,0.8263,llm,HUMAN_REVIEW,0.7000,1.0000,0.7919,0.7500,1.0000,conditional,0.85,CASE WHEN billing_account.credit_class_cd = 'LOW' THEN 'LOW' WHEN billing_account.credit_class_cd = 'MEDIUM' THEN 'MEDIUM' WHEN billing_account.credit_class_cd = 'HIGH' THEN 'HIGH' ELSE 'UNKNOWN' END
account,open_dt,account.open_dt,billing_account,open_dt,billing_account.open_dt,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"COALESCE(billing_account.open_dt, service_subscription.activation_dt)"
kyc_verification,party_id,kyc_verification.party_id,customer_master,customer_id,customer_master.customer_id,0.9650,llm,AUTO_ACCEPT,0.9000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
account,close_dt,account.close_dt,billing_account,close_dt,billing_account.close_dt,0.8750,fuzzy,HUMAN_REVIEW,1.0000,0.5000,1.0000,1.0000,1.0000,derived,0.85,"COALESCE(billing_account.close_dt, service_subscription.termination_dt)"
kyc_verification,kyc_id,kyc_verification.kyc_id,billing_account,customer_id,billing_account.customer_id,0.8600,llm,HUMAN_REVIEW,0.6000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
kyc_verification,doc_type_cd,kyc_verification.doc_type_cd,identity_documents,doc_type_cd,identity_documents.doc_type_cd,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN identity_documents.doc_type_cd IN ('SSN', 'PASSPORT', 'DL') THEN identity_documents.doc_type_cd ELSE NULL END"
kyc_verification,doc_number,kyc_verification.doc_number,identity_documents,doc_number,identity_documents.doc_number,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN identity_documents.doc_number IS NOT NULL THEN identity_documents.doc_number ELSE identity_documents.doc_id END
kyc_verification,verification_status_cd,kyc_verification.verification_status_cd,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.8747,llm,HUMAN_REVIEW,0.7000,1.0000,0.8650,1.0000,1.0000,derived,0.85,CASE WHEN identity_documents.verification_flag = 'Y' THEN 'verified' WHEN identity_documents.verification_flag = 'N' THEN 'rejected' ELSE 'pending' END
kyc_verification,verified_ts,kyc_verification.verified_ts,identity_documents,verified_ts,identity_documents.verified_ts,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,direct,0.95,
gender_dim,gender_cd,gender_dim.gender_cd,gender_lookup,gender_code,gender_lookup.gender_code,0.7150,fuzzy,REJECT,0.9000,0.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN gender_lookup.gender_code IS NOT NULL THEN gender_lookup.gender_code ELSE customer_master.gender_code END
gender_dim,gender_desc,gender_dim.gender_desc,gender_lookup,gender_desc,gender_lookup.gender_desc,1.0000,fuzzy,AUTO_ACCEPT,1.0000,1.0000,1.0000,1.0000,1.0000,derived,0.95,CASE gender_lookup.gender_code WHEN 'M' THEN 'Male' WHEN 'F' THEN 'Female' WHEN 'O' THEN 'Other' END
party_type_lookup,party_type_cd,party_type_lookup.party_type_cd,service_subscription,service_status_cd,service_subscription.service_status_cd,0.7833,llm,HUMAN_REVIEW,0.5000,1.0000,0.7219,1.0000,1.0000,conditional,0.85,"CASE WHEN service_subscription.service_status_cd IN ('ACTIVE', 'SUSPENDED') THEN 'ACTIVE' ELSE customer_contact.contact_type_cd END"
id_type_lookup,id_type_cd,id_type_lookup.id_type_cd,identity_documents,doc_type_cd,identity_documents.doc_type_cd,0.9297,fuzzy,AUTO_ACCEPT,0.8571,1.0000,0.8650,1.0000,1.0000,derived,0.95,"CASE WHEN identity_documents.doc_type_cd IN ('SSN', 'PASSPORT', 'DL') THEN identity_documents.doc_type_cd ELSE NULL END"
party_type_lookup,party_type_desc,party_type_lookup.party_type_desc,customer_address,address_type_cd,customer_address.address_type_cd,0.7344,llm,REJECT,0.5000,1.0000,0.7294,0.6667,1.0000,derived,0.85,"CASE WHEN customer_address.address_type_cd IN ('HOME', 'OFFICE') THEN 'Residential' WHEN customer_address.address_type_cd = 'BILLING' THEN 'Billing' ELSE 'Other' END"
plan_dim,plan_cd,plan_dim.plan_cd,plan_master,plan_id,plan_master.plan_id,0.8250,fuzzy,HUMAN_REVIEW,0.8571,0.5000,1.0000,1.0000,1.0000,derived,0.75,"CASE WHEN plan_master.plan_type = 'Premium' THEN CONCAT(plan_master.plan_id, '-P') WHEN plan_master.plan_type = 'Basic' THEN CONCAT(plan_master.plan_id, '-B') ELSE plan_master.plan_id END"
address_role_lookup,address_role_desc,address_role_lookup.address_role_desc,address_type_lookup,address_type_cd,address_type_lookup.address_type_cd,0.9300,llm,AUTO_ACCEPT,0.8000,1.0000,1.0000,1.0000,1.0000,,,
id_type_lookup,id_type_desc,id_type_lookup.id_type_desc,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.8250,llm,HUMAN_REVIEW,0.5000,1.0000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN customer_status_lookup.status_cd = 'ACTIVE' THEN 'Active Customer' WHEN customer_status_lookup.status_cd = 'SUSPENDED' THEN 'Suspended Customer' WHEN customer_status_lookup.status_cd = 'CLOSED' THEN 'Closed Customer' ELSE contact_type_lookup.contact_type_desc END
address_role_lookup,address_role_cd,address_role_lookup.address_role_cd,address_type_lookup,address_type_cd,address_type_lookup.address_type_cd,0.9300,llm,AUTO_ACCEPT,0.8000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN address_type_lookup.address_type_cd IN ('HOME', 'BILLING', 'OFFICE') THEN address_type_lookup.address_type_cd WHEN customer_address.address_type_cd IN ('HOME', 'BILLING', 'OFFICE') THEN customer_address.address_type_cd WHEN customer_contact.contact_type_cd IN ('HOME', 'BILLING', 'OFFICE') THEN customer_contact.contact_type_cd END"
payment_method_dim,payment_method_cd,payment_method_dim.payment_method_cd,payment_method_lookup,payment_method_cd,payment_method_lookup.payment_method_cd,0.9314,fuzzy,AUTO_ACCEPT,1.0000,1.0000,0.7925,0.7500,1.0000,derived,0.85,CASE WHEN payment_method_lookup.payment_method_cd IS NOT NULL THEN payment_method_lookup.payment_method_cd ELSE billing_account.payment_method_cd END
plan_dim,plan_name,plan_dim.plan_name,plan_master,plan_name,plan_master.plan_name,0.8750,fuzzy,HUMAN_REVIEW,1.0000,0.5000,1.0000,1.0000,1.0000,direct,1.0,
plan_dim,plan_type,plan_dim.plan_type,plan_master,plan_type,plan_master.plan_type,0.8750,fuzzy,HUMAN_REVIEW,1.0000,0.5000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN customer_master.customer_type_cd = 'IND' THEN plan_master.plan_type ELSE plan_master.plan_name END
credit_risk_dim,credit_risk_cd,credit_risk_dim.credit_risk_cd,billing_account,credit_class_cd,billing_account.credit_class_cd,0.8566,llm,HUMAN_REVIEW,0.8000,1.0000,0.7610,0.7500,1.0000,derived,0.85,"CASE WHEN billing_account.credit_class_cd IN ('LOW', 'MEDIUM', 'HIGH') THEN billing_account.credit_class_cd ELSE 'UNKNOWN' END"
payment_method_dim,payment_method_desc,payment_method_dim.payment_method_desc,payment_method_lookup,payment_method_desc,payment_method_lookup.payment_method_desc,0.9314,fuzzy,AUTO_ACCEPT,1.0000,1.0000,0.7925,0.7500,1.0000,derived,0.85,CASE payment_method_lookup.payment_method_cd WHEN 'CC' THEN 'Credit Card' WHEN 'ACH' THEN 'Bank Transfer' WHEN 'CASH' THEN 'Cash' END
credit_risk_dim,risk_level,credit_risk_dim.risk_level,billing_account,credit_class_cd,billing_account.credit_class_cd,0.8566,llm,HUMAN_REVIEW,0.8000,1.0000,0.7610,0.7500,1.0000,conditional,0.85,CASE WHEN billing_account.credit_class_cd = 'LOW' THEN 'LOW' WHEN billing_account.credit_class_cd = 'MEDIUM' THEN 'MEDIUM' WHEN billing_account.credit_class_cd = 'HIGH' THEN 'HIGH' ELSE 'UNKNOWN' END
plan_dim,monthly_fee,plan_dim.monthly_fee,plan_master,monthly_fee,plan_master.monthly_fee,0.8750,fuzzy,HUMAN_REVIEW,1.0000,0.5000,1.0000,1.0000,1.0000,derived,0.85,CASE WHEN billing_account.billing_cycle_cd = 'MONTHLY' THEN plan_master.monthly_fee ELSE NULL END
credit_risk_dim,credit_limit,credit_risk_dim.credit_limit,invoice_header,total_amount,invoice_header.total_amount,0.7042,llm,REJECT,0.3000,1.0000,0.8614,0.8000,1.0000,,,
account_status_dim,account_status_cd,account_status_dim.account_status_cd,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.9300,llm,AUTO_ACCEPT,0.8000,1.0000,1.0000,1.0000,1.0000,derived,0.85,"CASE WHEN billing_account.account_status_cd IN ('OPEN', 'ACTIVE') THEN 'ACTIVE' WHEN billing_account.account_status_cd = 'SUSPENDED' THEN 'SUSPENDED' WHEN billing_account.account_status_cd = 'CLOSED' THEN 'CLOSED' ELSE NULL END"
account_status_dim,account_status_desc,account_status_dim.account_status_desc,customer_status_lookup,status_cd,customer_status_lookup.status_cd,0.9300,llm,AUTO_ACCEPT,0.8000,1.0000,1.0000,1.0000,1.0000,,,
